id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,fee_float
46,9868188640707215440437863615521278132277,2023-04-26 14:17:54.02551,17130945,carbon_v1 0x0-1AD5/ETH-EEeE None,0x0-1AD5/ETH-EEeE,carbon_v1,0,nan,nan,5363000000000,5363000000000,119127330708,2267453933449,100000000000000000,100000000000000000,1002503361642560,2210109140007279,0,nan,nan,nan,0xC537e898CD774e2dCBa3B14Ea6f34C93d5eA45e1,nan,0.0
47,9868188640707215440437863615521278132278,2023-04-26 13:07:28.578754,17127576,bancor_v3 BNT-FF1C/WBTC-C599 0.000,BNT-FF1C/WBTC-C599,bancor_v3,0.000,5919083734515601200685286,9918064479,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,nan,0.0
48,9868188640707215440437863615521278132279,2023-04-26 07:11:56.18827,17127576,bancor_v3 BNT-FF1C/MFG-0312 0.000,BNT-FF1C/MFG-0312,bancor_v3,0.000,219768161661354930483475,47601125283056106386281649,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x6710c63432A2De02954fc0f851db07146a6c0312,nan,0.0
49,9868188640707215440437863615521278132280,2023-04-26 12:34:42.61518,17127576,bancor_v3 BNT-FF1C/USDC-eB48 0.000,BNT-FF1C/USDC-eB48,bancor_v3,0.000,2465217011407827905870478,1218187548594,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,nan,0.0
50,9868188640707215440437863615521278132281,2023-04-26 02:57:23.887295,17127576,bancor_v3 BNT-FF1C/UOS-5C8c 0.000,BNT-FF1C/UOS-5C8c,bancor_v3,0.000,41461420931869649863821,656544767,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xD13c7342e1ef687C5ad21b27c2b65D772cAb5C8c,nan,0.0
51,9868188640707215440437863615521278132282,2023-04-26 02:57:25.183954,17127577,bancor_v3 BNT-FF1C/AAVE-DaE9 0.000,BNT-FF1C/AAVE-DaE9,bancor_v3,0.000,211784405519625759434453,1443645999282218764187,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,nan,0.0
52,9868188640707215440437863615521278132283,2023-04-26 02:57:26.331,17127577,bancor_v3 BNT-FF1C/BAT-87EF 0.000,BNT-FF1C/BAT-87EF,bancor_v3,0.000,529906742801909809390639,1018796206116908935771039,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,nan,0.0
53,9868188640707215440437863615521278132284,2023-04-26 02:57:27.879089,17127577,bancor_v3 BNT-FF1C/CHZ-b4AF 0.000,BNT-FF1C/CHZ-b4AF,bancor_v3,0.000,32074467869592983197460,123976194782218391705981,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,nan,0.0
54,9868188640707215440437863615521278132285,2023-04-26 12:41:26.836804,17127577,bancor_v3 BNT-FF1C/DAI-1d0F 0.000,BNT-FF1C/DAI-1d0F,bancor_v3,0.000,6342623648505349173615307,3147959368893624296548657,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0x6B175474E89094C44Da98b954EedeAC495271d0F,nan,0.0
55,9868188640707215440437863615521278132286,2023-04-26 02:57:29.351077,17127577,bancor_v3 BNT-FF1C/ENJ-3B9c 0.000,BNT-FF1C/ENJ-3B9c,bancor_v3,0.000,1719420862731339344303662,2114773628897882503975917,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,nan,0.0
56,9868188640707215440437863615521278132287,2023-04-26 02:57:30.535894,17127577,bancor_v3 BNT-FF1C/ENS-9D72 0.000,BNT-FF1C/ENS-9D72,bancor_v3,0.000,109969450546766167905846,4301801708215611418129,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,nan,0.0
