,key,symbol,name,address,decimals,blockchain
116,TOSA-08aF,TOSA,TOSA,0xd4259689587F017240d3CF2eFE24CaCfd59708aF,9.0,ethereum
117,BNTCRT-7f26,BNTCRT,BNTCRT,0xD42a4fd1845333F24d88E70D5837927CEcAf7f26,18.0,ethereum
118,C8-4A5d,C8,C8,0xd42debE4eDc92Bd5a3FBb4243e1ecCf6d63A4A5d,18.0,ethereum
119,PINU-6164,PINU,PINU,0xD432e521EEa96865B494a48e692C4f2aC3f66164,8.0,ethereum
120,FACE-6156,FACE,FACE,0xd432e8611377E307D3e5710132515be1E6AA6156,9.0,ethereum
121,BTR-Aaa5,BTR,BTR,0xd433138d12beB9929FF6fd583DC83663eea6Aaa5,18.0,ethereum
122,APN-75E6,APN,APN,0xd4342a57eCf2Fe7ffA37c33cb8f63b1500e575E6,18.0,ethereum
123,ZECBULL-12B8,ZECBULL,ZECBULL,0xD437d88153daEF4784CAcd2084b1d8Cc2D3312B8,18.0,ethereum
124,WF-7a2F,WF,WF,0xD43e64CE01C6bD39a22D501aaefa3A9c814a7a2F,18.0,ethereum
125,Choo-70dE,Choo,Choo,0xD4485eB0575CEB14089110fE4c0BD028490970dE,18.0,ethereum
126,ENCRYPT-623f,ENCRYPT,ENCRYPT,0xD448675f4E0a0Eef965E7cdC3C313e3a9088623f,18.0,ethereum
127,WCO-4904,WCO,WCO,0xd44bb6663936CAb1310584A277f7DAa6943d4904,8.0,ethereum
128,MEAN-57ea,MEAN,MEAN,0xd44c923f22B86Ae4EbE49EBa7fd3Ab2C074d57ea,9.0,ethereum
129,SLC-23f5,SLC,SLC,0xd44cB86D603971E4C45E28A514bAD761bFf023f5,18.0,ethereum
130,Mika-7EBf,Mika,Mika,0xD44FC10F34B260D4CE7aF7359012Ea4ae1967EBf,18.0,ethereum
131,TESLA-5f14,TESLA,TESLA,0xd450060C49Ad1dd090f2A198BE300e4e7b235f14,10.0,ethereum
132,CZINU-659d,CZINU,CZINU,0xD45124E2da1380e2d9fC85885d8632606D43659d,18.0,ethereum
133,BCZERO-0C64,BCZERO,BCZERO,0xD45247c07379d94904E0A87b4481F0a1DDfa0C64,18.0,ethereum
134,4Retards-1062,4Retards,4Retards,0xD4554719080482545059427B9dd822c26BfC1062,9.0,ethereum
135,ISO-1F4d,ISO,ISO,0xD458983d38B05382866dde11ca2de7726a1c1F4d,18.0,ethereum
136,GME-2ad7,GME,GME,0xD4596454a0E145842d1319D6921399E8E1622ad7,18.0,ethereum
137,CONTROL-1AA6,CONTROL,CONTROL,0xd45BEbd0F471d22E634c71E3FE64e29D1aF81AA6,9.0,ethereum
138,DETECT-1705,DETECT,DETECT,0xD45d51c1903fDCb7e15e93D4A405ffe9077E1705,9.0,ethereum
139,PLATINUM-95aC,PLATINUM,PLATINUM,0xd461bea711660B890121C8AceF43ec584f5595aC,18.0,ethereum
