id,cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,tkn0_balance,tkn1_balance,z_0,y_0,A_0,B_0,z_1,y_1,A_1,B_1,sqrt_price_q96,tick,tick_spacing,liquidity,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol
531,531,2023-05-03 18:11:35.996478,17181885,uniswap_v3 DENT-A258/USDC-eB48 10000,DENT-A258/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,254900596770943302055623766,-114791.0,200.0,2842254901650,0x2949b81Ae8a26cB38e43510A1D9889D23943eCD6,,0x3597bfD533a99c9aa083587B074434E61Eb0A258,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,DENT-A258,USDC-eB48,8,6,4,DENT,USDC
532,532,2023-05-03 18:11:38.184073,17181885,uniswap_v3 SUDO-B7F9/USDC-eB48 10000,SUDO-B7F9/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,64142751253693308518978,-280549.0,200.0,10611877967876819,0xDF709525C5880322422A10E045C1E0fA82cDa1B2,,0x3446Dd70B2D52A6Bf4a5a192D9b0A161295aB7F9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,SUDO-B7F9,USDC-eB48,18,6,4,SUDO,USDC
533,533,2023-05-03 18:11:40.420648,17181886,uniswap_v3 sUSD-5f51/USDC-eB48 500,sUSD-5f51/USDC-eB48,uniswap_v3,500.0,0.0005,,,,,,,,,,,79243877738380259311217,-276321.0,10.0,36648532822584691938,0x6a9850E46518231B23e50467c975Fa94026BE5d5,,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sUSD-5f51,USDC-eB48,18,6,4,sUSD,USDC
534,534,2023-05-03 18:11:42.663016,17181886,uniswap_v3 ELT-1B02/USDT-1ec7 500,ELT-1B02/USDT-1ec7,uniswap_v3,500.0,0.0005,,,,,,,,,,,2320871165628751097186,-346936.0,10.0,65472393071671375,0xA27203Ad88BAfDe7C7a3c987cacA05F26fFde068,,0xc0AE17Eb994fa828540FFa53776B3830233A1B02,0xdAC17F958D2ee523a2206206994597C13D831ec7,ELT-1B02,USDT-1ec7,18,6,4,ELT,USDT
535,535,2023-05-03 18:11:44.829632,17181886,uniswap_v3 ELAN-28B5/USDT-1ec7 10000,ELAN-28B5/USDT-1ec7,uniswap_v3,10000.0,0.01,,,,,,,,,,,226179090269382829304075,-255344.0,200.0,0,0xc9f735E1d126d9c10A222c85f41CA44b109dC4c4,,0x1b5036bEc1B82D44d52Fa953A370b3c6Cd9328B5,0xdAC17F958D2ee523a2206206994597C13D831ec7,ELAN-28B5,USDT-1ec7,18,6,4,ELAN,USDT
536,536,2023-05-03 18:11:47.000899,17181886,uniswap_v3 INNBC-8c42/USDT-1ec7 3000,INNBC-8c42/USDT-1ec7,uniswap_v3,3000.0,0.003,,,,,,,,,,,7765942995063082401596612,-184617.0,60.0,510443239048625,0x97e72d8376Ddb0Fd044B0B920B218518972baE9B,,0xB67718b98d52318240c52E71A898335da4A28c42,0xdAC17F958D2ee523a2206206994597C13D831ec7,INNBC-8c42,USDT-1ec7,6,6,4,INNBC,USDT
537,537,2023-05-03 18:11:48.472166,17181886,uniswap_v3 ACR-E3CF/USDC-eB48 10000,ACR-E3CF/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,3836341357987967604266,-336884.0,200.0,8703115954169700,0xdA590fcA64d1831414CffE85CcF5770b9bF155bb,,0x76306F029f8F99EFFE509534037Ba7030999E3CF,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ACR-E3CF,USDC-eB48,18,6,4,ACR,USDC
538,538,2023-05-03 18:11:49.9773,17181886,uniswap_v3 MANA-C942/USDC-eB48 3000,MANA-C942/USDC-eB48,uniswap_v3,3000.0,0.003,,,,,,,,,,,58268292650256068999598,-282470.0,60.0,4436920652653156,0xCC6C15c979e4e1c6bAF6b4ed9Ca143f84Fe15615,,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,MANA-C942,USDC-eB48,18,6,4,MANA,USDC
539,539,2023-05-03 18:11:52.165001,17181887,uniswap_v3 USDC-eB48/MLP-1152 3000,USDC-eB48/MLP-1152,uniswap_v3,3000.0,0.003,,,,,,,,,,,1134907204509530481540625424903402271,329566.0,60.0,8663369131484209,0x015769601D8d4879C0E193EeAB31F10Cf03c9Ea9,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xE22020F47B7378dfedcedd2C81d4137c22fE1152,USDC-eB48,MLP-1152,6,18,4,USDC,MLP
540,540,2023-05-03 18:11:54.311448,17181887,uniswap_v3 DYDX-Eff5/USDC-eB48 10000,DYDX-Eff5/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,122335049741745034909638,-267635.0,200.0,10066372953773492,0xE141E17986Cc9cFce8D8Dbd63b3cfedb05Ab7ABD,,0x92D6C1e31e14520e676a687F0a93788B716BEff5,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,DYDX-Eff5,USDC-eB48,18,6,4,DYDX,USDC
541,541,2023-05-03 18:11:56.557584,17181887,uniswap_v3 ACX-F82F/USDC-eB48 10000,ACX-F82F/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,17417688729290929541735,-306623.0,200.0,6858087583486491,0xb975DEBd497C1Cc6cDcb9f4246EF4903e842671f,,0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,ACX-F82F,USDC-eB48,18,6,4,ACX,USDC
542,542,2023-05-03 18:11:58.021804,17181887,uniswap_v3 MATIC-eBB0/WETH-6Cc2 10000,MATIC-eBB0/WETH-6Cc2,uniswap_v3,10000.0,0.01,,,,,,,,,,,1823458522831962461006445524,-75436.0,200.0,1121015007204556224519,0x99C7550be72F05ec31c446cD536F8a29C89fdB77,,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MATIC-eBB0,WETH-6Cc2,18,18,4,MATIC,WETH
543,543,2023-05-03 18:11:59.543737,17181887,uniswap_v3 AGIX-b542/USDC-eB48 10000,AGIX-b542/USDC-eB48,uniswap_v3,10000.0,0.01,,,,,,,,,,,4529252215372000100216652431,-57239.0,200.0,30557840398,0xAD87299980AEf40672e666277Fa07385d88721B1,,0x5B7533812759B45C2B44C19e320ba2cD2681b542,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,AGIX-b542,USDC-eB48,8,6,4,AGIX,USDC
544,544,2023-05-03 18:12:01.746114,17181887,uniswap_v3 BAT-87EF/USDC-eB48 3000,BAT-87EF/USDC-eB48,uniswap_v3,3000.0,0.003,,,,,,,,,,,43412415907173189974390,-288357.0,60.0,63845317606330059,0x7Cc97Cf8DeC003DE52b100D66CD89E5CdCaA124A,,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,BAT-87EF,USDC-eB48,18,6,4,BAT,USDC
