,pair,pair_reverse,exchange_name,exchange,address,address0,address1,symbol0,symbol1,fee,decimal0,decimal1,exchange_version,exchange_id,exchange_type,anchor
135,QNT_BNT,BNT_QNT,bancor,bancor_v2,0x11A9FE753fEe7f8Fd02eFef1a32e81217098D3D0,0x4a220E6096B25EADb88358cb44068A3248254675,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,QNT,BNT,0.002,18,18,v2,1,Constant Product Pool,0xD6bF84B5D6F4d1288C39f2486688e949B1423E62
136,RARI_BNT,BNT_RARI,bancor,bancor_v2,0x18fB8f6a492CECc0b030634c5f1d094200b67aac,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,RARI,BNT,0.002,18,18,v2,1,Constant Product Pool,0xb5faf55A4bD812a918c68F629A00d8F9750a2C4d
137,REN_BNT,BNT_REN,bancor,bancor_v2,0x3052B2d9694A0dC36735A14E4C313BE66f3c7E68,0x408e41876cCCDC0F92210600ef50372656052a38,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,REN,BNT,0.002,18,18,v2,1,Constant Product Pool,0x6b181C478b315bE3f9E99c57CE926436c32e17a7
138,renBTC_BNT,BNT_renBTC,bancor,bancor_v2,0xE807F9EaD3408b3770d3110097cd78b94160F86C,0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,renBTC,BNT,0.002,8,18,v2,1,Constant Product Pool,0xb479b102bF135bdC666d6916172422CbaD9E977f
139,BNT_REQ,REQ_BNT,bancor,bancor_v2,0x483F65300b6Cb6f211aAB39229d494E59Fe24E66,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x8f8221aFbB33998d8584A2B05749bA73c37a938a,BNT,REQ,0.01,18,18,v2,1,Constant Product Pool,0xccB5E3Ba5356D57001976092795626ac3b87Ad4e
140,BNT_rETH,rETH_BNT,bancor,bancor_v2,0x26a1Fb17DD09e211d244E817864867963335340F,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xae78736Cd615f374D3085123A210448E74Fc6393,BNT,rETH,0.002,18,18,v2,1,Constant Product Pool,0xccFb06281Dd899115fbffCCCe31d8bF605b08215
141,BNT_RLC,RLC_BNT,bancor,bancor_v2,0xe9dB9908A2aA69753A5Ed89827B35A2B827D87ea,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x607F4C5BB672230e8672085532f7e901544a7375,BNT,RLC,0.002,18,9,v2,1,Constant Product Pool,0x9003411Ac4073C2D9f37af71d00E373B72Cbe9E2
142,BNT_ROOK,ROOK_BNT,bancor,bancor_v2,0xFa7b9AD60304119f59B172Ef78B98D50cb9A5c98,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a,BNT,ROOK,0.005,18,18,v2,1,Constant Product Pool,0x713017efCbdFA00a36ab42f5B9587BB1208571e1
143,BNT_RPL,RPL_BNT,bancor,bancor_v2,0x7cbB56Cba5F813012E02fE126515A40970c26a61,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,BNT,RPL,0.002,18,18,v2,1,Constant Product Pool,0x97F4B92D55B72ff08B45355a51DcB7ca0f3172C3
144,BNT_RUNE,RUNE_BNT,bancor,bancor_v2,0x8c9c2AF136f94E30534F9dC4DAF3FcBe04b57F40,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x3155BA85D5F96b2d030a4966AF206230e46849cb,BNT,RUNE,0.005,18,18,v2,1,Constant Product Pool,0xa399e5a933159d0b76695babe7925778a16E08a4
