id,name,tkn0_address,tkn1_address,tkn0_key,tkn1_key
95,BNT-FF1C/IDLE-D39e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,BNT-FF1C,IDLE-D39e
96,BNT-FF1C/INDEX-4cab,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0954906da0Bf32d5479e25f46056d22f08464cab,BNT-FF1C,INDEX-4cab
97,BNT-FF1C/KTN-FC1C,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x491E136FF7FF03E6aB097E54734697Bb5802FC1C,BNT-FF1C,KTN-FC1C
98,BNT-FF1C/LPL-75B8,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x99295f1141d58A99e939F7bE6BBe734916a875B8,BNT-FF1C,LPL-75B8
99,BNT-FF1C/SHIBGF-65d6,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x505a84a03e382331A1Be487b632Cf357748b65d6,BNT-FF1C,SHIBGF-65d6
100,I-2897/WETH-6Cc2,0x7c6B16b538cdA7263528Fe95cC8dfda7b9532897,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,I-2897,WETH-6Cc2
101,WETH-6Cc2/ARTSTIC-B7F9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDA765bBB587A4454789AfdC953Ae26b4E069B7F9,WETH-6Cc2,ARTSTIC-B7F9
102,FIND-8E0a/WETH-6Cc2,0x2F9CAB5e879330Ac548A8EE9375C896Ff37b8E0a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,FIND-8E0a,WETH-6Cc2
103,MingBi-9dB9/WETH-6Cc2,0x613d1d9Eb0E3c34EB7D70aC1a10e14ac391b9dB9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MingBi-9dB9,WETH-6Cc2
104,HMB-A68A/HMB-4929,0x76165106bbcD58C88468C48907a5bc2529a5A68A,0xC3b2140aC3E95EdFea220681EeCA127fC81E4929,HMB-A68A,HMB-4929
105,XEN-6Fb8/XUSD-E7d8,0x06450dEe7FD2Fb8E39061434BAbCFC05599a6Fb8,0x15964Cc23e13141D290Da9581213B4B0879cE7d8,XEN-6Fb8,XUSD-E7d8
106,ITO-C5Ab/WETH-6Cc2,0x293B0Cd0991DB07c8529fEBb01bc7D052315C5Ab,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ITO-C5Ab,WETH-6Cc2
107,HVC-51a4/WETH-6Cc2,0x397cc4DfB5528dc31F73f55eb738ad7Aa89651a4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,HVC-51a4,WETH-6Cc2
108,OTO-8b56/WETH-6Cc2,0x028CE5EA3298a50c0D8a27b937b1F48Cf0d68b56,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,OTO-8b56,WETH-6Cc2
109,BBA-8eb0/WETH-6Cc2,0x5633C3bE7fbA30f2B5f93fab29daA9a381cA8eb0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,BBA-8eb0,WETH-6Cc2
110,MASATO-921A/WETH-6Cc2,0x883a8108e562e19ADC92932022c11CA06F4f921A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,MASATO-921A,WETH-6Cc2
111,100MD-fBe6/SHIB-C4cE,0x53868AC71297768254883b31AAdda7328B70fBe6,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,100MD-fBe6,SHIB-C4cE
112,STFMG-1e39/WETH-6Cc2,0x0Bfda9a1914dD56313DA138143e871c2b7A01e39,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,STFMG-1e39,WETH-6Cc2
